external_id,building_code,name,latitude,longitude,status,country,type,serial_numbers
Ethiopia_ETHBKHOFO01_FO Bokh 01,ETHBKHOFO01,FO Bokh 01,7.450756,46.666508,Open,Ethiopia,office,"009-807D4,009-8082B"
Zambia_ZMBKAWOFO01_FO Kawambwa 01,ZMBKAWOFO01,FO Kawambwa 01,-9.79431,29.08012,Open,Zambia,office,009-8084D
Belgium_BELBRUOMC01_MC Brussels 01,BELBRUOMC01,MC Brussels 01,50.82393,4.367,Open,Belgium,office,009-808F6
Burkina Faso_BFADOROSO01_SO Dori 01,BFADOROSO01,SO Dori 01,14.036229,-0.023705,Open,Burkina Faso,office,009-80DDC
Burkina Faso_BFAFGMOFO01_FO Fada N’Gourma 01,BFAFGMOFO01,FO Fada N’Gourma 01,12.065445,0.37598,Open,Burkina Faso,office,009-80DB9
Ethiopia_ETHAYSOFU01_FU Aysaita 01,ETHAYSOFU01,FU Aysaita 01,11.589455,41.446625,Open,Ethiopia,office,"009-807D4,009-8082B"
Ethiopia_ETHAXUOFU01_FU Axum 01,ETHAXUOFU01,FU Axum 01,14.1227,38.7313,Open,Ethiopia,office,"009-807D4,009-8082B"
South Africa_ZAFPREORB01_RB Pretoria 01,ZAFPREORB01,RB Pretoria 01,-25.774,28.23802,Open,South Africa,office,009-8084D
Ivory Coast_CIVGUIOFU01_FU Guiglo 01,CIVGUIOFU01,FU Guiglo 01,6.548353,-7.55426,Closed,Ivory Coast,office,009-807B3
Cameroon_CMRBAEOSO01_SO Bamenda 01,CMRBAEOSO01,SO Bamenda 01,5.949427,10.170229,Open,Cameroon,office,009-80A14
Cameroon_CMRBATOFU01_FU Batouri 01,CMRBATOFU01,FU Batouri 01,4.42726,14.35891,Open,Cameroon,office,009-80A0C
Ethiopia_ETHADIOFU01_FU Abi Adi 01,ETHADIOFU01,FU Abi Adi 01,13.621095,39.000942,Closed,Ethiopia,office,009-807D8
Ethiopia_ETHAXUOFU01_FU Axum 01,ETHAXUOFU01,FU Axum 01,14.125,38.73,Open,Ethiopia,office,"009-807D4,009-8082B"
Bangladesh_BGDCOXOSO01_SO Coxs Bazar 01,BGDCOXOSO01,SO Coxs Bazar 01,21.43354,91.97349,Open,Bangladesh,office,"009-8092D,009-80B1A,009-80B27"
Bangladesh_BGDDHAOCO01_CO Dhaka 01,BGDDHAOCO01,CO Dhaka 01,23.79662,90.41667,Open,Bangladesh,office,"009-808D8,009-808D9,009-8092C"
Switzerland_CHEBRNOCO01_CO Bern 01,CHEBRNOCO01,CO Bern 01,46.939029,7.473338,Open,Switzerland,office,009-80B37
China_CHNBEJOCO01_CO Beijing 01,CHNBEJOCO01,CO Beijing 01,39.56432,116.27053,Open,China,office,"009-80742,009-80760"
Ivory Coast_CIVABIOCO01_CO Abidjan 01,CIVABIOCO01,CO Abidjan 01,5.377574,-3.996797,Open,Ivory Coast,office,009-807B3
Cameroon_CMRBTUOSO01_SO Bertoua 01,CMRBTUOSO01,SO Bertoua 01,4.573045,13.66852,Open,Cameroon,office,009-80A0A
Cameroon_CMRDJOOFU01_FU Djohong 01,CMRDJOOFU01,FU Djohong 01,6.83708,14.68257,Open,Cameroon,office,009-809FD
Ethiopia_ETHADGOFU01_FU Adigrat 01,ETHADGOFU01,FU Adigrat 01,14.280246,39.466869,Closed,Ethiopia,office,009-807D8
Ethiopia_ETHASAOSO01_SO Asosa 01,ETHASAOSO01,SO Asosa 01,10.0634,34.5407,Open,Ethiopia,office,"009-807D4,009-8082B"
Yemen_YEMSDAOFO01_FO Saada 01,YEMSDAOFO01,FO Saada 01,16.936056,43.755611,Open,Yemen,office,009-8084D
Bosnia and Herzegovina_BIHTUZOFU01_FU Tuzla 01,BIHTUZOFU01,FU Tuzla 01,44.533673,18.644855,Open,Bosnia and Herzegovina,office,"009-808B6,009-80B64"
Canada_CANTOROSO01_SO Toronto 01,CANTOROSO01,SO Toronto 01,43.68828,-79.394521,Open,Canada,office,009-80B37
Ethiopia_ETHADDOLO01_LO Addis Ababa 01,ETHADDOLO01,LO Addis Ababa 01,9.013086,38.768771,Open,Ethiopia,office,009-807D8
Yemen_YEMSANOCO01_CO Sanaa 01,YEMSANOCO01,CO Sanaa 01,15.336439,44.186353,Open,Yemen,office,009-8084D
Brazil_BRABOAOSO01_SO Boa Vista 01,BRABOAOSO01,SO Boa Vista 01,2.82357,60.69417,Open,Brazil,office,009-80923
external_id,building_code,name,latitude,longitude,status,country,type,009-80935
Canada_CANMTROFO01_FO Montreal 01,CANMTROFO01,FO Montreal 01,45.506636,-73.562262,Open,Canada,office,009-80B37
Cameroon_CMRMEIOFO01_FO Meiganga 01,CMRMEIOFO01,FO Meiganga 01,6.52034,14.27904,Open,Cameroon,office,009-80A09
Ethiopia_ETHADDOCO01_CO Addis Ababa 01,ETHADDOCO01,CO Addis Ababa 01,8.992535,38.767992,Open,Ethiopia,office,009-807D8
Yemen_YEMMRBOFO01_FO Marib  01,YEMMRBOFO01,FO Marib  01,15.46258,45.31708,Open,Yemen,office,009-8084D
Brazil_BRABOAOSO01_SO Boa Vista 01,BRABOAOSO01,SO Boa Vista 01,2.82357,-60.69417,Open,Brazil,office,009-80923
Brazil_BRAMANOFU01_FO Manaus 01,BRAMANOFU01,FO Manaus 01,-3.106882,-60.006077,Open,Brazil,office,009-8098D
Brazil_BRAPACOFU01_FU Pacaraima 01,BRAPACOFU01,FU Pacaraima 01,4.47653,61.14657,Open,Brazil,office,009-80935
Costa Rica_CRIJOSOFU01_FU San Jose 01,CRIJOSOFU01,FU San Jose 01,9.941286,-84.113823,Open,Costa Rica,office,009-80780
Central African Republic_CAFMGBOFU01_FU Mongoumba 01,CAFMGBOFU01,FU Mongoumba 01,3.627778,18.594722,Open,Central African Republic,office,009-80B2A
Spain_ESPPLMOFU01_FU Las Palmas 01,ESPPLMOFU01,FU Las Palmas 01,28.00318,-15.38918,Open,Spain,office,009-80834
Central African Republic_CAFBOUOSO01_FO Bouar 01,CAFBOUOSO01,FO Bouar 01,5.93959,15.579975,Open,Central African Republic,office,009-80B34
Central African Republic_CAFKAGOFO01_FO Kaga Bandoro 01,CAFKAGOFO01,FO Kaga Bandoro 01,7.006327,19.179549,Open,Central African Republic,office,009-80B36
Cameroon_CMRYAOOMC02_MC Yaounde 02,CMRYAOOMC02,MC Yaounde 02,3.884981,11.507416,Closed,Cameroon,office,009-80A16
Spain_ESPMLGOFU01_FU Malaga 01,ESPMLGOFU01,FU Malaga 01,36.71872,-4.43223,Open,Spain,office,009-80834
Yemen_YEMIBBOFO01_FO Ibb 01,YEMIBBOFO01,FO Ibb 01,13.985887,44.164868,Open,Yemen,office,009-8084D
Denmark_DNKCOPOHQ01_HQ Copenhagen 01,DNKCOPOHQ01,HQ Copenhagen 01,55.704671,12.597333,Open,Denmark,office,009-8064A
Dominican Republic_DOMSDMOOC01_OC Santo Domingo 01,DOMSDMOOC01,OC Santo Domingo 01,18.469046,-69.914542,Open,Dominican Republic,office,009-8086E
Algeria_DZAALGOCO01_CO Algiers 01,DZAALGOCO01,CO Algiers 01,36.760475,3.034483,Open,Algeria,office,009-80A69
Spain_ESPMLAOFU01_FU Melilla 01,ESPMLAOFU01,FU Melilla 01,35.2936,-2.94006,Open,Spain,office,009-80834
Djibouti_DJIALIOFO01_FO Ali Sabieh 01,DJIALIOFO01,FO Ali Sabieh 01,11.157845,42.70409,Open,Djibouti,office,009-80639
Djibouti_DJIDJBOCO01_CO Djibouti 01,DJIDJBOCO01,CO Djibouti 01,11.616165,43.149592,Open,Djibouti,office,"009-8063D,009-80640,009-80641,009-80644,009-80645,009-8064C,009-8064D,009-8064E"
Djibouti_DJIOBKOFO01_FO Obock 01,DJIOBKOFO01,FO Obock 01,11.963543,43.28571,Open,Djibouti,office,009-8064A
Ecuador_ECUGAYOFO01_SMO - FO Guayaquil 01,ECUGAYOFO01,SMO - FO Guayaquil 01,-2.15919,-79.92846,Temporary,Ecuador,office,"009-80910,009-80931"
Ecuador_ECUGAYOSO01_SO Guayaquil 01,ECUGAYOSO01,SO Guayaquil 01,-2.171555,-79.910614,Open,Ecuador,office,"009-80911,009-80937"
Ecuador_ECUQITOFO01_SMO - FO Quito 01,ECUQITOFO01,SMO - FO Quito 01,-1.032471,-79.829077,Temporary,Ecuador,office,"009-80836,009-80840,009-80844,009-8090E,009-8090F"
Spain_ESPMADOCO01_CO Madrid 01,ESPMADOCO01,CO Madrid 01,40.45214,-3.694416,Open,Spain,office,009-80834
Democratic Republic of the Congo_CODBENOFO01_FO Beni 01,CODBENOFO01,FO Beni 01,-0.980607,28.653062,Open,Democratic Republic of the Congo,office,009-80E0B
Germany_DEUNUROLO01_LO Nuremberg 01,DEUNUROLO01,LO Nuremberg 01,49.42974,11.04456,Open,Germany,office,009-8089B
Algeria_DZATINOSO01_SO Tindouf 01,DZATINOSO01,SO Tindouf 01,27.667828,-8.149159,Open,Algeria,office,009-80A66
Ecuador_ECUAMBOFU01_FU Ambato 01,ECUAMBOFU01,FU Ambato 01,-1.262167,-78.639438,Closed,Ecuador,office,009-80957
Ecuador_ECUCUEOFU01_FU Cuenca 01,ECUCUEOFU01,FU Cuenca 01,-2.910647,-79.002563,Open,Ecuador,office,"009-8092A,009-8092B"
Ecuador_ECUESMOFO01_FO Esmeraldas 01,ECUESMOFO01,FO Esmeraldas 01,0.989829,-79.653614,Open,Ecuador,office,"009-80910,009-80931"
Ecuador_ECUMTAOFO01_SMO - FO Manta 01,ECUMTAOFO01,SMO - FO Manta 01,-0.98109,-80.69669,Planned,Ecuador,office,009-80927
Ecuador_ECUQITOCO01_CO Quito 01,ECUQITOCO01,CO Quito 01,0.19865,78.48141,Open,Ecuador,office,"009-80836,009-80840,009-80844,009-8090E,009-8090F"
Ecuador_ECUTULOFO01_FO Tulcan 01,ECUTULOFO01,FO Tulcan 01,0.797359,77.732304,Planned,Ecuador,office,"009-80921,009-80932"
Spain_ESPALCOFU01_FU Algeciras 01,ESPALCOFU01,FU Algeciras 01,36.14277,-5.4467,Open,Spain,office,009-80834
Democratic Republic of the Congo_CODBUKOFO03_FO Bukavu 03,CODBUKOFO03,FO Bukavu 03,-2.49507,28.879406,Open,Democratic Republic of the Congo,office,009-808DD
Democratic Republic of the Congo_CODBUNOFO01_FO Bunia 01,CODBUNOFO01,FO Bunia 01,1.550591,30.243816,Open,Democratic Republic of the Congo,office,"009-80954,009-80E11"
Costa Rica_CRICRNOFO01_FO Ciudad Neily 01,CRICRNOFO01,FO Ciudad Neily 01,8.650923,-82.943391,Open,Costa Rica,office,009-80DDE
Costa Rica_CRIJOSOCO01_CO San Jose 01,CRIJOSOCO01,CO San Jose 01,9.942014,-84.115056,Open,Costa Rica,office,009-80786
Germany_DEUBEROCO01_CO Berlin 01,DEUBEROCO01,CO Berlin 01,52.507898,13.391126,Open,Germany,office,009-8089B
Ecuador_ECULAGOFO01_FO Lago Agrio 01,ECULAGOFO01,FO Lago Agrio 01,0.10818,-76.90976,Open,Ecuador,office,009-80927
Egypt_EGYCAIOCO01_CO Cairo 01,EGYCAIOCO01,CO Cairo 01,29.983376,30.939328,Open,Egypt,office,009-80A39
Egypt_EGYCAIOCO02_CO Cairo 02,EGYCAIOCO02,CO Cairo 02,30.0582,31.2229,Open,Egypt,office,009-80A38
Egypt_EGYCAIOFO01_FO Cairo 01,EGYCAIOFO01,FO Cairo 01,29.97094,30.93505,Open,Egypt,office,009-80A49
Eritrea_ERIASMOCO01_CO Asmara 01,ERIASMOCO01,CO Asmara 01,15.322465,38.924824,Open,Eritrea,office,"009-8097B,009-80A6A,009-80A6B"
Western Sahara_ESHLAAOLO01_LO Laayoune 01,ESHLAAOLO01,LO Laayoune 01,27.151553,-13.190967,Open,Western Sahara,office,009-80834
Ukraine_UKRLVOFO01_FO Lviv 01,UKRLVOFO01,FO Lviv 01,49.833999,24.037123,Open,Ukraine,office,009-8084D
Colombia_COLQIBOFO01_FO Quibdo 01,COLQIBOFO01,FO Quibdo 01,5.68648,-76.661619,Open,Colombia,office,009-80A1C
Colombia_COLRIOOSO01_SO Riohacha 01,COLRIOOSO01,SO Riohacha 01,11.55216,-72.90883,Open,Colombia,office,009-80A33
Costa Rica_CRICRNOFO01_FO Ciudad Neily 01,CRICRNOFO01,FO Ciudad Neily 01,40.455328,73.585088,Open,Costa Rica,office,009-80DDE
Cuba_CUBHAVOFU01_FU Havana 01,CUBHAVOFU01,FU Havana 01,23.125641,-82.422011,Open,Cuba,office,009-80787
Cyprus_CYPNICOCO01_CO Nicosia 01,CYPNICOCO01,CO Nicosia 01,35.16317,33.34821,Open,Cyprus,office,009-8089B
Ukraine_UKRKYVOCO01_CO Kyiv 01,UKRKYVOCO01,CO Kyiv 01,50.438967,30.498928,Open,Ukraine,office,009-8084D
Democratic Republic of the Congo_CODGOMOSO01_SO Goma 01,CODGOMOSO01,SO Goma 01,-1.677871,29.220446,Open,Democratic Republic of the Congo,office,009-8091B
Democratic Republic of the Congo_CODKALOSO01_SO Kalemie 01,CODKALOSO01,SO Kalemie 01,-5.910473,29.207918,Open,Democratic Republic of the Congo,office,"009-808DE,009-80E10"
Colombia_COLBOGOCO01_CO Bogota 01,COLBOGOCO01,CO Bogota 01,4.657012,-74.060564,Open,Colombia,office,009-80842
Colombia_COLPOPOFU01_FU Popayan 01,COLPOPOFU01,FU Popayan 01,2.4551,-76.59554,Open,Colombia,office,009-80DD9
Colombia_COLQIBOFO01_FO Quibdo 01,COLQIBOFO01,FO Quibdo 01,5.686476,-76.661619,Open,Colombia,office,009-80A1C
Yemen_YEMHUDOFO01_FO Hudaydah 01,YEMHUDOFO01,FO Hudaydah 01,14.8122,42.938944,Open,Yemen,office,009-8084D
Colombia_COLCUCOSO01_SO Cucuta 01,COLCUCOSO01,SO Cucuta 01,7.88296,-72.49359,Open,Colombia,office,009-80843
Colombia_COLIPIOFU01_FU Ipiales 01,COLIPIOFU01,FU Ipiales 01,0.82877,-77.649573,Open,Colombia,office,009-80A36
Colombia_COLMAIOFU01_FU Maicao 01,COLMAIOFU01,FU Maicao 01,11.38021,-72.24081,Open,Colombia,office,009-80A2D
Colombia_COLMEDOSO01_SO Medellin 01,COLMEDOSO01,SO Medellin 01,6.209235,-75.573658,Open,Colombia,office,009-80A2F
Colombia_COLMOCOFU01_FU Mocoa 01,COLMOCOFU01,FU Mocoa 01,1.15208,-76.6499,Open,Colombia,office,009-80A30
Colombia_COLPASOFO01_FO Pasto 01,COLPASOFO01,FO Pasto 01,1.22479,-77.28405,Open,Colombia,office,009-80A47
Democratic Republic of the Congo_CODKNGOSO01_SO Kananga 01,CODKNGOSO01,SO Kananga 01,-5.901245,22.405886,Open,Democratic Republic of the Congo,office,"009-80DB4,009-80E09"
Democratic Republic of the Congo_CODLIBOFO01_FO Libenge 01,CODLIBOFO01,FO Libenge 01,3.642589,18.629819,Open,Democratic Republic of the Congo,office,009-80B2F
Democratic Republic of the Congo_CODTSHOFO01_FO Tshikapa 01,CODTSHOFO01,FO Tshikapa 01,90,180,Open,Democratic Republic of the Congo,office,"009-80984,009-80E13"
Democratic Republic of the Congo_CODUVIOFO01_FO Uvira 01,CODUVIOFO01,FO Uvira 01,-3.403481,28.810007,Open,Democratic Republic of the Congo,office,"009-80DCB,009-80E0D"
Democratic Republic of the Congo_CODYAKOFO01_FO Yakoma 01,CODYAKOFO01,FO Yakoma 01,4.109848,22.440035,Open,Democratic Republic of the Congo,office,009-80ABB
Republic of the Congo_COGBETOFO01_FO Betou 01,COGBETOFO01,FO Betou 01,3.059492,18.515968,Open,Republic of the Congo,office,009-80B5E 
Republic of the Congo_COGBRZOCO01_CO Brazzaville 01,COGBRZOCO01,CO Brazzaville 01,-4.272964,15.275093,Open,Republic of the Congo,office,009-8075B
Republic of the Congo_COGGMBOFO01_FO Gamboma 01,COGGMBOFO01,FO Gamboma 01,1.868361,15.885928,Open,Republic of the Congo,office,009-8078A
Colombia_COLBNVOFU01_FU Buenaventura 01,COLBNVOFU01,FU Buenaventura 01,3.881676,-77.0165,Open,Colombia,office,009-80A34
Colombia_COLCALOSO01_SO Cali 01,COLCALOSO01,SO Cali 01,3.466222,76.529263,Open,Colombia,office,009-80841
Colombia_COLARAOFO01_FO Arauca 01,COLARAOFO01,FO Arauca 01,7.084744,-70.761512,Open,Colombia,office,009-80A51
Colombia_COLBCROFU01_FU Bucaramanga 01,COLBCROFU01,FU Bucaramanga 01,7.11817,-73.10824,Open,Colombia,office,009-80A31
Algeria_DZARABOFU01_FU Rabouni 01,DZARABOFU01,FU Rabouni 01,27.480264,-8.085898,Open,Algeria,office,009-80A67
Yemen_YEMADEOSO01_SO Aden 01,YEMADEOSO01,SO Aden 01,12.808068,45.028587,Open,Yemen,office,009-8084D
Uganda_UGANAKOFO01_FO Nakivale 01,UGANAKOFO01,FO Nakivale 01,-0.781066,30.949468,Open,Uganda,office,009-8084D
Venezuela_VENVNSOFU01_FU Santa Elena de Uairen 01,VENVNSOFU01,FU Santa Elena de Uairen 01,4.612192,-61.111182,Open,Venezuela,office,009-8084D
Uganda_UGAMOYOSO01_SO Moyo 01,UGAMOYOSO01,SO Moyo 01,3.653009,31.758878,Open,Uganda,office,009-8084D
Venezuela_VENSCROFO01_FO San Cristobal 01,VENSCROFO01,FO San Cristobal 01,7.783942,-72.202589,Open,Venezuela,office,009-8084D
Uganda_UGAMBAOSO01_SO Mbarara 01,UGAMBAOSO01,SO Mbarara 01,-0.597848,30.62917,Open,Uganda,office,009-8084D
Venezuela_VENMRIOFO01_FO Maracaibo 01,VENMRIOFO01,FO Maracaibo 01,10.663479,-71.60499,Open,Venezuela,office,009-8084D
Switzerland_CHEGENOHQ01_HQ Geneva 01,CHEGENOHQ01,HQ Geneva 01,46.221106,6.140581,Open,Switzerland,office,"009-80742,009-80760"
Venezuela_VENGUSOFO01_FO Guasdualito 01,VENGUSOFO01,FO Guasdualito 01,7.22861,-70.725675,Open,Venezuela,office,009-8084D
Venezuela_VENCGAOFO01_FO Ciudad Guayana 01,VENCGAOFO01,FO Ciudad Guayana 01,8.293666,-62.722014,Open,Venezuela,office,009-8084D
Venezuela_VENAYCOFU01_FU Puerto Ayacucho 01,VENAYCOFU01,FU Puerto Ayacucho 01,5.663774,-67.618059,Open,Venezuela,office,009-8084D
Uzbekistan_UZBTASOFU01_FU Tashkent 01,UZBTASOFU01,FU Tashkent 01,41.282815,69.256894,Open,Uzbekistan,office,009-8084D
United States of America_USAWASOMC01_MC Washington 01,USAWASOMC01,MC Washington 01,38.9092,-77.042128,Open,United States of America,office,009-8084D
United States of America_USASDLOFO01_FO San DIego 01,USASDLOFO01,FO San DIego 01,32.722021,-117.16255,Open,United States of America,office,009-8084D
United States of America_USANEYOLO01_LO New York 01,USANEYOLO01,LO New York 01,40.71455,-74.00714,Open,United States of America,office,009-8084D
Syria_SYRHOMOSO01_SO Homs 01,SYRHOMOSO01,SO Homs 01,34.724311,36.700361,Open,Syria,office,009-8084D
Uruguay_URYMOTONO01_NO Montevideo 01,URYMOTONO01,NO Montevideo 01,-34.90413,-56.20069,Open,Uruguay,office,009-8084D
Ukraine_UKRVNTOSO01_SO Vinnytsia 01,UKRVNTOSO01,SO Vinnytsia 01,49.227792,28.456776,Open,Ukraine,office,009-8084D
Syria_SYRLATOFU01_FU Latakia 01,SYRLATOFU01,FU Latakia 01,35.523103,35.802561,Open,Syria,office,009-8084D
Ukraine_UKRUGROFO01_FO Uzhgorod 01,UKRUGROFO01,FO Uzhgorod 01,48.620081,22.294356,Open,Ukraine,office,009-8084D
Ukraine_UKROSAOFU01_FU Odesa 01,UKROSAOFU01,FU Odesa 01,46.473339,30.733733,Open,Ukraine,office,009-8084D
Ukraine_UKRKHVOFO01_FO Kharkiv 01,UKRKHVOFO01,FO Kharkiv 01,50.018276,36.233181,Open,Ukraine,office,009-8084D
Ukraine_UKRDPOOSO01_SO Dnipro 01,UKRDPOOSO01,SO Dnipro 01,48.466531,35.056154,Open,Ukraine,office,009-8084D
Syria_SYRDEZOFU01_FU Dez 01,SYRDEZOFU01,FU Dez 01,35.342952,40.190734,Open,Syria,office,009-8084D
Ukraine_UKRCNVOFU01_FU Chernivtsi 01,UKRCNVOFU01,FU Chernivtsi 01,48.266099,25.9318,Open,Ukraine,office,009-8084D
Turkiye_TURGAZOSO01_SO Gaziantep 01,TURGAZOSO01,SO Gaziantep 01,37.08648,37.339959,Open,Turkiye,office,009-8084D
Uganda_UGAYUMOSO01_SO Yumbe 01,UGAYUMOSO01,SO Yumbe 01,3.47253,31.244738,Open,Uganda,office,009-8084D
Uganda_UGARMNOFO01_FO Rwamwanja 01,UGARMNOFO01,FO Rwamwanja 01,0.338709,30.642988,Open,Uganda,office,009-8084D
Uganda_UGALAMOFO01_FO Lamwo 01,UGALAMOFO01,FO Lamwo 01,3.437298,32.581819,Open,Uganda,office,009-8084D
Uganda_UGAKYKOFU01_FU Kyaka II 01,UGAKYKOFU01,FU Kyaka II 01,0.35782,31.081937,Open,Uganda,office,009-8084D
Uganda_UGAKYAOSO01_SO Kyangwali 01,UGAKYAOSO01,SO Kyangwali 01,1.192471,30.78127,Open,Uganda,office,009-8084D
Trinidad and Tobago_TTOPSPOCO01_CO Port of Spain 01,TTOPSPOCO01,CO Port of Spain 01,10.66283,-61.51076,Open,Trinidad and Tobago,office,009-8084D
Uganda_UGAKRYOFO01_FO Kiryandongo 01,UGAKRYOFO01,FO Kiryandongo 01,1.943785,32.156341,Open,Uganda,office,009-8084D
Tajikistan_TJKDUSOCO01_CO Dushanbe 01,TJKDUSOCO01,CO Dushanbe 01,38.563808,68.801702,Open,Tajikistan,office,009-8084D
Uganda_UGAKISOFU01_FU Kisoro 01,UGAKISOFU01,FU Kisoro 01,-1.28863,29.6907,Open,Uganda,office,009-8084D
Syria_SYRDAMOFO01_FO Damascus 01,SYRDAMOFO01,FO Damascus 01,33.49788,36.28279,Open,Syria,office,009-8084D
Thailand_THAMSOOFO01_FO Mae Sot 01,THAMSOOFO01,FO Mae Sot 01,16.70401,98.57213,Open,Thailand,office,009-8084D
Uganda_UGAKAMOLO01_LO Kampala 01,UGAKAMOLO01,LO Kampala 01,0.324142,32.56546,Open,Uganda,office,009-8084D
Uganda_UGAKAMOCO01_CO Kampala 01,UGAKAMOCO01,CO Kampala 01,0.338251,32.596572,Open,Uganda,office,009-8084D
Uganda_UGAARXOSO01_SO Arua 01,UGAARXOSO01,SO Arua 01,3.01209,30.89223,Open,Uganda,office,009-8084D
Uganda_UGAADJOSO01_SO Adjumani Pakele 01,UGAADJOSO01,SO Adjumani Pakele 01,3.359071,31.852501,Open,Uganda,office,009-8084D
Ethiopia_ETHABROFU01_FU Aw barre 01,ETHABROFU01,FU Aw barre 01,9.780092,43.214732,Open,Ethiopia,office,009-807D8
Ethiopia_ETHGAMOSO01_SO Gambella 01,ETHGAMOSO01,SO Gambella 01,8.272269,34.580618,Open,Ethiopia,office,009-80B85
Tanzania_TZAKSUOFO01_FO Kasulu 01,TZAKSUOFO01,FO Kasulu 01,-4.563869,30.095747,Open,Tanzania,office,009-8084D
