bc,sn
KENDADOSO01,0098085C
KENDAGOFU01,00980A24
KENGAROFO01,00980A52
KENHAGOFU01,00980A53
KENIFFOFU01,00980DA4
KENIFOOFU01,00980A27
KENKAKOSO01,0098085B
KENNAIOCO01,00980961
#VALUE!,#VALUE!
#VALUE!,#VALUE!
KENNAIORB01,"00980747,0098074A"
KGZBISONO01,0098083B
KORSEOOCO02,0098084D
KOSPRIOOC01,0098085F
KWTKUWOCO01,00980789
LBNBEIOCO01,"009808B0,009809E5"
LBNBEIRRC01,"009809E6,00980B01"
LBNQOBOFO01,"009809E9,00980ACB"
LBNTRIOSO01,"009809F5,00980AC1,00980AC9,00980B00,00980DD3,00980DD4,00980DD6,00980DDB"
LBNTYROFO01,"009809EA,00980AF4"
LBNZAHOSO01,"00980A01,00980ACC"
LBRMNROCO01,009808B5
LBYTRLOCO01,009808B4
LKACLMOCO01,0098085A
MARRBTOCO01,00980858
MEXAGUOFU01,009809FF
MEXGUAOFU01,009809EF
MEXMNTOSO01,009809EE
MEXMXCOCO01,00980876
MEXPALOFU01,009809ED
MEXSALOFU01,00980AFE
MEXTAPOFO01,009809FA
MEXTENOFU01,00980A00
MEXTIJOFO01,009809FB
MEXTUXOSO01,009809F9
MKDSKOOCO01,"0098095F,00980960"
MKDSKOOCO02,00980966
MLIBMKOCO01,0098089D
MLIGAOOSO01,009808FB
MLIMOPOFO01,0098088D
MLITOMOFO01,0098089E
MMRBHOOFU01,0098085E
MMRHPAOFO01,00980882
MMRLOIOFO01,0098087A
MMRMAUOSO01,009808A9
MMRMYIOFO01,0098087F
MMRSITOFO01,00980E1B
MMRYANOCO01,009808A8
MOZMAPOCO01,009808EB
MOZNMPOFO01,009808F0
MOZPEMOSO01,009808F2
MRTBSKOSO01,"00980823,009809C3"
MRTMBERRC01,009808F1
MRTNOUOFU01,009808F4
MRTNUAOCO01,00980DD2
MWIDZLOCO01,"009809F4,00980DA5"
MWIKAROFU01,00980756
MWILILOCO01,00980755
MYSKUAOCO01,00980874
NERABAOFO01,00980896
NERAGAOSO01,00980887
NERDIFOSO01,"00980B62,00980E26"
NERMRDOSO01,009808BB
NERNIAOCO01,009808B8
NERNIAOFO01,00980867
NEROULOFU01,00980895
NERTAHOFO01,009808BA
NERTILOSO01,009808B9
NGAABUOCO01,00980785
NGAADKOFU01,00980AAF
NGACLBOFO01,"00980A9C,00980B76"
NGALGSOFO01,00980A9E
NGAMIDGGH01,"00980AA4,00980E05"
NGAMIDOSO01,00980AA2
NGAOGOGGH01,00980AA3
NGAOGOOSO01,00980AA5
NGATAUOFO01,"00980AA1,00980B77,00980B7A"
NGAYOLOFO01,00980A9D
NPLKATOCO01,009807B4
PAKDALOFO01,"00980DE3,00980DE7"
PAKHRPOFU01,00980A6D
PAKISLOCO01,00980859
PAKKOHOFU01,"00980A4D,00980DFC"
PAKPESOSO01,00980A4F
PAKQETOSO01,00980A4C
PANPCTOMC01,0098092F
PANPCTORB01,00980869
PANPCTORB02,"00980865,00980868"
PERLIMOCO01,0098079A
PERLIMOFO01,009807D7
PERTACOFU01,009807D6
PERTUMOFO01,009807D9
PHLMNLONO01,00980DCC
#VALUE!,#VALUE!
#VALUE!,#VALUE!
POLWAROFO01,00980855
QATDOHOCO01,"009807FB,00980B5F"
ROUBUCOCO02,00980880
RWAHUYOFO01,"009808EC,00980B84"
RWAKBROFO01,"009809F6,00980B8C"
RWAKIBOFO01,"009809B6,00980B80"
RWAKIGOCO01,"00980A40,00980A57"
RWAKRHOSO01,"009809E4,00980B87"
RWANYMOFO01,"009809F0,00980B81"
SAURIYOMC01,00980759
SDNED OFO01,00980A1F
SDNEFAOSO01,00980A11
SDNEFUOFO01,00980A26
SDNEGNOFO01,00980A10
SDNEOBOFU01,00980A20
SDNGEDOSO01,00980DC2
SDNKADOSO01,00980A21
SDNKASOSO01,00980A0F
SDNKEGOFO01,00980A18
SDNKRTOCO01,009808B3
SDNKSTOSO01,00980A22
SDNNYAOFO01,00980A12
SDNZALOFU01,00980A1E
SENDAKOMC01,00980883
SENDAKORB01,00980872
SOMBAIOFU01,00980A29
SOMBOSOFO01,"00980A28,00980DA1"
SOMBRBOFU01,00980A1B
SOMDHOOFU01,00980A2B
SOMDOLOFU01,00980A2A
SOMGAAOSO01,00980A1A
SOMGRWOFU01,00980A19
SOMHRGOSO01,00980A2C
SOMKSMOFO01,00980A17
SOMMOGOCO01,009808B2
SRBBLGOCO01,00980871
SSDBNJOSO01,009809F3
SSDBOROFO01,00980A50
SSDJAMOSO01,00980DE8
SSDJUBOCO01,"009808C6,009808DB"
SSDMALOFO01,"00980A02,00980A05"
SSDTOTOFO01,009808C7
SSDWAUOFO01,00980A06
SSDYAMOFO01,00980A07
SSDYEIOFO01,00980B70
SYRALPOSO01,"009809D4,00980B13,00980B14,00980B1C,00980B1E"
SYRDAMOCO01,"009808E8,009809B5,009809CC"
SYRDAMOCO02,"009808B1,009808E9,009808EA,009809B8"
SYRQAMGGH01,00980DD5
SYRQAMOSO01,009809C4
SYRQAMOSO02,009809AD
SYRSWDOFO01,"009809CA,009809CB"
SYRTAROFO01,009809AC
TCDABEOSO01,00980B11
TCDAM OFO01,"00980914,00980AC4"
TCDBALOSO01,00980B8A
TCDFAROFO01,00980B89
TCDGOROSO01,00980850
TCDGOZOFO01,00980B6E
TCDGUEOFO01,00980B90
TCDHAROFO01,00980B96
TCDIRIOFO01,0098084F
TCDMOIOFO01,00980B91
TCDMROOFO01,00980B97
TCDNDJOCO01,"0098086B,00980B66,00980B6B,00980B6C"
TGOLOMONO01,00980863
THABANORB01,"009807F5,00980870,00980E1A "
THAMAEOFO01,009807F6
THAMSOOFO01,00980AAE
TJKDUSOCO01,00980A6F
TTOPSPOCO01,00980AD1
TUNTNSOCO01,00980835
TUNZAROFO01,0098089A
TURANKOCO01,009808EF
TURANKOSO01,"009808E2,00980E14"
TURANKOSO02,009808E6
TURGAZOSO01,00980906
TURHATOFO01,"00980903,00980904"
TURISTOFO01,0098090D
TURISTOFO02,00980E0F
TURIZMOFO01,009808DA
TURSNLOFO01,00980905
TZADAROCO01,00980839
TZAKBDOFO01,00980B7F
TZAKGOOSO01,00980831
TZAKSUOFO01,00980DB7
UGAADJOSO01,"00980857,00980B8B"
UGAARXOSO01,0098084A
UGAKAMOCO01,009809E8
UGAKAMOLO01,009809C6
UGAKISOFU01,009809E1
UGAKRYOFO01,00980DE6
UGAKYAOSO01,00980DEE
UGAKYKOFU01,009809C7
UGALAMOFO01,00980864
UGAMBAOSO01,009809C8
UGAMOYOSO01,0098084B
UGANAKOFO01,009809DF
UGARMNOFO01,009809C9
UGAYUMOSO01,0098084E
UKRDPOOSO01,"00980DC1,00980E24"
UKRKYVOCO01,"0098083C,00980DC3,00980E1D,00980E23"
UKRUGROFO01,00980B23
UKRVNTOSO01,00980DC4
USAWASOMC01,00980925
VENCAROCO01,"0098088B,0098088E"
VENCGAOFO01,0098088C
VENGUSOFO01,0098088A
VENMRIOFO01,009808FC
VENSCROFO01,009808FD
YEMADEOSO01,00980A73
YEMHUDOFO01,00980A75
YEMKHARRC01,00980A74
YEMMRBOFO01,00980A9F
YEMSANOCO01,00980A72
YEMSANRRC01,00980A99
YEMSDAOFO01,00980AA0
ZAFPREORB01,"00980825,00980DA7,00980DA8"
ZMBKAWOFO01,00980A2E
ZMBLUSOCO01,009807DE
ZMBSOLOFO01,00980A25
ZWEHRAOCO01,0098075A
ZWETOGOFO01,00980820
